allele,n_folds,avg_auc,std_auc,avg_pcc,std_pcc,avg_mse,std_mse,min_auc,max_auc,best_hidden_most_common,best_lr_most_common
A0101,5,0.9988181971903687,0.0015779291156076786,0.9382791052252017,0.01919609268859,0.003682043216581611,0.0011072833221412693,0.9961316397228638,0.9999807321772639,10,0.1
A2902,5,0.9922302666141318,0.009278416979793284,0.9758158479940187,0.021972256219969254,0.007140116852887174,0.009200239737119515,0.9774100341476228,1.0,50,0.1
B0702,5,0.9819527100274948,0.020782051113648982,0.9049678661213875,0.07054247243015072,0.010524357905022496,0.008376922929371202,0.9556159420289855,0.9997991026585415,10,0.1
A1101,5,0.9771860427659835,0.0037862010377642053,0.9251700554844206,0.010242912198615492,0.012225314655945192,0.0015593962196235795,0.9724180114124432,0.9827279420787827,10,0.1
A3301,5,0.9758121417969055,0.044974808248157,0.8979244588869012,0.12304556354079588,0.010655911707310884,0.01210430506729444,0.896306802683978,0.9997251901684036,100,0.1
A2301,5,0.9737094837935174,0.05845241484465269,0.9490865125512066,0.0994492803301056,0.008930719240395088,0.016999217015724186,0.8691476590636253,1.0,100,0.01
A0301,5,0.9686607754063858,0.025734148470949184,0.8963512322750722,0.06057992541414441,0.013862058244131874,0.009628289020608359,0.9268675343987467,0.9965413161144132,10,0.1
A0201,5,0.9682512793781569,0.0020847758350456603,0.9075173736022725,0.004130286020556777,0.01677985608106052,0.0007003155577214605,0.9661004209260372,0.9716084904713733,10,0.1
A3101,5,0.9644559276190391,0.038660439389942,0.879121438864877,0.10011024930114579,0.014622136142316024,0.010983210061430217,0.8977066019902273,0.9973176124676187,10,0.1
A2403,5,0.936029748283753,0.08088284310800058,0.7462644148724101,0.26232926999708134,0.028019065229035356,0.027939474396893055,0.806350114416476,1.0,10,0.001
A0203,5,0.9334490759951889,0.045563084671906076,0.8501310502842093,0.09034912570679855,0.025329579433470632,0.013998947524762566,0.8917169616312157,0.9935249546395442,10,0.01
A0202,5,0.9299191618695033,0.034855053345073064,0.8437998419229746,0.06531400063054002,0.025866110109469022,0.010182218345833775,0.8814756522153862,0.9664591977869985,10,0.01
A0206,5,0.9291265263756259,0.05580729835743313,0.8238420097447301,0.11822870229279168,0.03009834446618479,0.022624278420165664,0.8666181923943866,0.9910099880955837,10,0.1
A3001,5,0.9250276937742686,0.145285018132872,0.7999821397414395,0.31353716656195846,0.015994579475448967,0.0219839216934786,0.6667580051671494,1.0,10,0.1
A6901,5,0.924839933403247,0.06497567991573897,0.7731012726306103,0.1510922687667893,0.013791512833725922,0.008914131561915168,0.8757648926669533,0.9965656165378773,10,0.01
A6802,5,0.9191459822602726,0.0596020382335053,0.7883310148825784,0.11677361870467087,0.02883326034941456,0.014100227043352207,0.8275960885628378,0.973846283081766,10,0.1
A3002,5,0.9097189944558366,0.08669410237317797,0.8046498643859307,0.1668476373571513,0.025874936689668115,0.022070767759042736,0.8214285714285713,1.0,10,0.001
A6801,5,0.8686528868706132,0.022432001327988775,0.7339211775210212,0.04878040218761708,0.05489493907743814,0.016068682108513904,0.8472395163365064,0.9052019552354,100,0.1
A2601,5,0.8617384895710163,0.18834005598320325,0.7567299011295109,0.2932575361667077,0.012622471582435967,0.015095446304598666,0.6540504648074369,0.9998863959102527,100,0.1
A2402,5,0.8365570343870429,0.151102906925015,0.6824732009572463,0.287005900312841,0.04213152732280624,0.039988903568429615,0.6745331069609507,1.0,10,0.001
