allele,n_folds,avg_auc,std_auc,avg_pcc,std_pcc,min_auc,max_auc,best_hidden_most_common,best_lr_most_common
B0702,5,0.8455049947737576,0.018391895095950597,0.5372591671331619,0.03830470127914035,0.8267102114080574,0.8763129902938439,,
A0201,5,0.8227564282345435,0.008463122960677583,0.6004563253296412,0.01590292473467002,0.8111580162402813,0.8297269437242573,,
B1801,5,0.8078722002635047,0.032150619211640585,0.589389527572221,0.09422439697308639,0.7626262626262625,0.8526570048309179,,
A2902,5,0.7839448712897295,0.021055568491781668,0.535571240562978,0.03182006726010364,0.7554504859469399,0.81297609666404,,
A1101,5,0.7511872622407657,0.019915459355471628,0.45560294306893256,0.03100176244019906,0.7279133175849798,0.7709611608786355,,
A0203,5,0.7386323528873397,0.031090426539089795,0.46324683242534304,0.05530008772970563,0.6904212772482176,0.7634616120758955,,
A2403,5,0.7265789473684211,0.07642353207751995,0.2292180598297317,0.1128474534640805,0.6330091533180778,0.8103546910755149,,
A0206,5,0.7177033348167733,0.023400018263324166,0.4330335558447603,0.03593589570390053,0.6883402049882407,0.7431353287248659,,
A3101,5,0.7174429407004278,0.014199292182469061,0.3442448804227888,0.0370680992099093,0.6940359113893285,0.7324162828333125,,
B2705,5,0.7137868621192969,0.052459683674976706,0.14684111783623185,0.04972309844920658,0.6352125279642058,0.7710514541387025,,
A0202,5,0.7123770804855026,0.01422326632941206,0.42445114765287306,0.023800695802225602,0.6898777443919809,0.7268630496219161,,
A0301,5,0.6831583535948689,0.012644481398947192,0.3237618517031382,0.020762992964554777,0.6679552827357901,0.6971039817493045,,
B3501,5,0.6780134962007806,0.02036415965104402,0.31943689628955346,0.04958329689778562,0.6523161877492586,0.701853985900217,,
A3001,5,0.6603084810083949,0.015797918078204784,0.2578015074286605,0.030689086984953817,0.6464926464926465,0.6853127691223675,,
B1501,5,0.6440347533718024,0.019211406118999054,0.13952406409468776,0.0681968521548351,0.620282940175503,0.6649458700882117,,
A6801,5,0.6367609952197214,0.024332245234546038,0.26507543385766447,0.04570845769019488,0.6018368922047852,0.6629957424848407,,
A2402,5,0.6193793623844558,0.06213098360366987,0.178139504454149,0.10655200841259803,0.531239388794567,0.6950764006791171,,
A0101,5,0.6074998776293012,0.016694941706197196,0.09235965401872241,0.029723105256373096,0.5864703618167821,0.6270977675134719,,
A6802,5,0.6054551481508341,0.0336201062506413,0.17098072728166716,0.04315189769878326,0.56489022114934,0.6395411379848516,,
A6901,5,0.5891775151679739,0.03211610354118269,0.06281403458342308,0.04661218413702699,0.5363403451995685,0.6233916581219197,,
A3002,5,0.589033189033189,0.11086097947409966,0.16515050557321054,0.15950619433086077,0.4641148325358851,0.738095238095238,,
A3301,5,0.575280573309311,0.028542951296527175,0.1116455517966212,0.02990341442326411,0.5407817790089258,0.6014074518575091,,
B0801,5,0.5630085022890778,0.05680750072520491,0.02437898122110952,0.02124619196285679,0.5113309352517986,0.6535971223021583,,
A2301,5,0.5307509185492378,0.0849811835711825,0.1658448932081701,0.12187917476611436,0.4111644657863145,0.6048484848484849,,
A2601,5,0.47506451017539864,0.02862737600509842,-0.06349742996127325,0.01872770773990748,0.4300022133687472,0.5084919057086055,,
