allele,n_folds,avg_auc,std_auc,avg_pcc,std_pcc,min_auc,max_auc,best_hidden_most_common,best_lr_most_common
A0101,5,0.9988181971903687,0.0015779291156076786,0.9382791052252017,0.01919609268859,0.9961316397228638,0.9999807321772639,10,0.1
A2902,5,0.9922302666141318,0.009278416979793284,0.9758158479940187,0.021972256219969254,0.9774100341476228,1.0,50,0.1
B0702,5,0.9819527100274948,0.020782051113648982,0.9049678661213875,0.07054247243015072,0.9556159420289855,0.9997991026585415,10,0.1
B2705,5,0.9810565755749396,0.027455630143775445,0.9087901209310683,0.014815198189964568,0.9322595078299777,0.9954102619614635,10,0.1
B3501,5,0.9773964270075833,0.03621367689368178,0.9460159813188126,0.062477115549714794,0.9130626355748372,0.9999659133517401,10,0.1
A1101,5,0.9771860427659835,0.0037862010377642053,0.9251700554844206,0.010242912198615492,0.9724180114124432,0.9827279420787827,10,0.1
A3301,5,0.9758121417969055,0.044974808248157,0.8979244588869012,0.12304556354079588,0.896306802683978,0.9997251901684036,100,0.1
A2301,5,0.9737094837935174,0.05845241484465269,0.9490865125512066,0.0994492803301056,0.8691476590636253,1.0,100,0.01
A0301,5,0.9686607754063858,0.025734148470949184,0.8963512322750722,0.06057992541414441,0.9268675343987467,0.9965413161144132,10,0.1
A0201,5,0.9682512793781569,0.0020847758350456603,0.9075173736022725,0.004130286020556777,0.9661004209260372,0.9716084904713733,10,0.1
A3101,5,0.9644559276190391,0.038660439389942,0.879121438864877,0.10011024930114579,0.8977066019902273,0.9973176124676187,10,0.1
B1501,5,0.9447302295306468,0.05396630409604007,0.8395408182771533,0.13480948137671458,0.8621655835935522,0.9838343732274533,10,0.1
A2403,5,0.936029748283753,0.08088284310800058,0.7462644148724101,0.26232926999708134,0.806350114416476,1.0,10,0.001
A0203,5,0.9334490759951889,0.045563084671906076,0.8501310502842093,0.09034912570679855,0.8917169616312157,0.9935249546395442,10,0.01
A0202,5,0.9299191618695033,0.034855053345073064,0.8437998419229746,0.06531400063054002,0.8814756522153862,0.9664591977869985,10,0.01
A0206,5,0.9291265263756259,0.05580729835743313,0.8238420097447301,0.11822870229279168,0.8666181923943866,0.9910099880955837,10,0.1
B1801,5,0.9281565656565656,0.08555279548249713,0.8625083800255233,0.15414433414686146,0.8097826086956521,0.9957729468599034,10,0.1
A3001,5,0.9250276937742686,0.145285018132872,0.7999821397414395,0.31353716656195846,0.6667580051671494,1.0,10,0.1
A6901,5,0.924839933403247,0.06497567991573897,0.7731012726306103,0.1510922687667893,0.8757648926669533,0.9965656165378773,10,0.01
A6802,5,0.9191459822602726,0.0596020382335053,0.7883310148825784,0.11677361870467087,0.8275960885628378,0.973846283081766,10,0.1
A3002,5,0.9097189944558366,0.08669410237317797,0.8046498643859307,0.1668476373571513,0.8214285714285713,1.0,10,0.001
A6801,5,0.8686528868706132,0.022432001327988775,0.7339211775210212,0.04878040218761708,0.8472395163365064,0.9052019552354,100,0.1
A2601,5,0.8617384895710163,0.18834005598320325,0.7567299011295109,0.2932575361667077,0.6540504648074369,0.9998863959102527,100,0.1
A2402,5,0.8365570343870429,0.151102906925015,0.6824732009572463,0.287005900312841,0.6745331069609507,1.0,10,0.001
B0801,5,0.6754970568999346,0.37079172417636075,0.4901472995635475,0.4739026978800036,0.2153368214519294,1.0,100,0.1
