allele,n_peptides,lambda,epsilon,epochs,fake_pcc,fake_mse
A0101,1157,0.001,0.01,200,0.636468,0.017384
A0101,1157,0.001,0.05,200,0.595867,0.020521
A0101,1157,0.001,0.1,200,0.531842,0.027667
A0101,1157,0.003,0.01,200,0.636489,0.017382
A0101,1157,0.003,0.05,200,0.595884,0.020519
A0101,1157,0.003,0.1,200,0.531859,0.027664
A0101,1157,0.01,0.01,200,0.636563,0.017376
A0101,1157,0.01,0.05,200,0.595943,0.020512
A0101,1157,0.01,0.1,200,0.531914,0.027651
A0101,1157,0.1,0.01,200,0.637467,0.017307
A0101,1157,0.1,0.05,200,0.596594,0.020426
A0101,1157,0.1,0.1,200,0.532395,0.027518
A0101,1157,0.3,0.01,200,0.639201,0.017172
A0101,1157,0.3,0.05,200,0.597758,0.020261
A0101,1157,0.3,0.1,200,0.533223,0.027257
A0101,1157,1.0,0.01,200,0.643567,0.016832
A0101,1157,1.0,0.05,200,0.600533,0.019834
A0101,1157,1.0,0.1,200,0.535376,0.026513
A0101,1157,3.0,0.01,200,0.650325,0.016324
A0101,1157,3.0,0.05,200,0.604534,0.019116
A0101,1157,3.0,0.1,200,0.538928,0.025044
A0101,1157,10.0,0.01,200,0.658099,0.015866
A0101,1157,10.0,0.05,200,0.607526,0.018132
A0101,1157,10.0,0.1,200,0.542570,0.022462
A0101,1157,30.0,0.01,200,0.658431,0.016345
A0101,1157,30.0,0.05,200,0.598510,0.017926
A0101,1157,30.0,0.1,200,0.534643,0.020509
A0201,3089,0.001,0.01,200,0.792564,0.035242
A0201,3089,0.001,0.05,200,0.758621,0.041574
A0201,3089,0.001,0.1,200,0.689228,0.056335
A0201,3089,0.003,0.01,200,0.792567,0.035241
A0201,3089,0.003,0.05,200,0.758624,0.041573
A0201,3089,0.003,0.1,200,0.689234,0.056333
A0201,3089,0.01,0.01,200,0.792578,0.035239
A0201,3089,0.01,0.05,200,0.758637,0.041569
A0201,3089,0.01,0.1,200,0.689254,0.056326
A0201,3089,0.1,0.01,200,0.792704,0.035210
A0201,3089,0.1,0.05,200,0.758766,0.041528
A0201,3089,0.1,0.1,200,0.689469,0.056238
A0201,3089,0.3,0.01,200,0.792937,0.035155
A0201,3089,0.3,0.05,200,0.758971,0.041450
A0201,3089,0.3,0.1,200,0.689890,0.056054
A0201,3089,1.0,0.01,200,0.793500,0.035010
A0201,3089,1.0,0.05,200,0.759467,0.041229
A0201,3089,1.0,0.1,200,0.691084,0.055493
A0201,3089,3.0,0.01,200,0.794367,0.034764
A0201,3089,3.0,0.05,200,0.760157,0.040791
A0201,3089,3.0,0.1,200,0.693359,0.054260
A0201,3089,10.0,0.01,200,0.794790,0.034601
A0201,3089,10.0,0.05,200,0.759730,0.040157
A0201,3089,10.0,0.1,200,0.696199,0.051804
A0201,3089,30.0,0.01,200,0.790779,0.035802
A0201,3089,30.0,0.05,200,0.752559,0.040686
A0201,3089,30.0,0.1,200,0.692572,0.049852
A0202,1447,0.001,0.01,200,0.749698,0.039509
A0202,1447,0.001,0.05,200,0.706887,0.046262
A0202,1447,0.001,0.1,200,0.646864,0.058459
A0202,1447,0.003,0.01,200,0.749725,0.039504
A0202,1447,0.003,0.05,200,0.706929,0.046253
A0202,1447,0.003,0.1,200,0.646896,0.058448
A0202,1447,0.01,0.01,200,0.749818,0.039487
A0202,1447,0.01,0.05,200,0.707070,0.046223
A0202,1447,0.01,0.1,200,0.646997,0.058412
A0202,1447,0.1,0.01,200,0.750874,0.039296
A0202,1447,0.1,0.05,200,0.708298,0.045950
A0202,1447,0.1,0.1,200,0.647847,0.058091
A0202,1447,0.3,0.01,200,0.752546,0.038989
A0202,1447,0.3,0.05,200,0.709742,0.045595
A0202,1447,0.3,0.1,200,0.648929,0.057606
A0202,1447,1.0,0.01,200,0.755375,0.038447
A0202,1447,1.0,0.05,200,0.711901,0.044933
A0202,1447,1.0,0.1,200,0.650650,0.056491
A0202,1447,3.0,0.01,200,0.757763,0.038026
A0202,1447,3.0,0.05,200,0.713969,0.044082
A0202,1447,3.0,0.1,200,0.652646,0.054554
A0202,1447,10.0,0.01,200,0.756802,0.038915
A0202,1447,10.0,0.05,200,0.713705,0.043927
A0202,1447,10.0,0.1,200,0.652969,0.052341
A0202,1447,30.0,0.01,200,0.744027,0.043916
A0202,1447,30.0,0.05,200,0.701451,0.048342
A0202,1447,30.0,0.1,200,0.639349,0.055616
A0203,1443,0.001,0.01,200,0.780239,0.036126
A0203,1443,0.001,0.05,200,0.749107,0.042103
A0203,1443,0.001,0.1,200,0.695675,0.053879
A0203,1443,0.003,0.01,200,0.780251,0.036123
A0203,1443,0.003,0.05,200,0.749124,0.042096
A0203,1443,0.003,0.1,200,0.695680,0.053870
A0203,1443,0.01,0.01,200,0.780292,0.036112
A0203,1443,0.01,0.05,200,0.749176,0.042074
A0203,1443,0.01,0.1,200,0.695690,0.053840
A0203,1443,0.1,0.01,200,0.780748,0.035983
A0203,1443,0.1,0.05,200,0.749526,0.041882
A0203,1443,0.1,0.1,200,0.695574,0.053609
A0203,1443,0.3,0.01,200,0.781424,0.035771
A0203,1443,0.3,0.05,200,0.749820,0.041609
A0203,1443,0.3,0.1,200,0.695297,0.053238
A0203,1443,1.0,0.01,200,0.782264,0.035399
A0203,1443,1.0,0.05,200,0.749820,0.041048
A0203,1443,1.0,0.1,200,0.694481,0.052303
A0203,1443,3.0,0.01,200,0.781005,0.035348
A0203,1443,3.0,0.05,200,0.747011,0.040614
A0203,1443,3.0,0.1,200,0.691250,0.051010
A0203,1443,10.0,0.01,200,0.769924,0.037413
A0203,1443,10.0,0.05,200,0.732087,0.042098
A0203,1443,10.0,0.1,200,0.675806,0.051044
A0203,1443,30.0,0.01,200,0.740305,0.043832
A0203,1443,30.0,0.05,200,0.698217,0.048067
A0203,1443,30.0,0.1,200,0.639915,0.055809
A0206,1437,0.001,0.01,200,0.769174,0.034701
A0206,1437,0.001,0.05,200,0.744211,0.039122
A0206,1437,0.001,0.1,200,0.701251,0.047516
A0206,1437,0.003,0.01,200,0.769186,0.034697
A0206,1437,0.003,0.05,200,0.744237,0.039113
A0206,1437,0.003,0.1,200,0.701255,0.047507
A0206,1437,0.01,0.01,200,0.769228,0.034685
A0206,1437,0.01,0.05,200,0.744320,0.039086
A0206,1437,0.01,0.1,200,0.701262,0.047479
A0206,1437,0.1,0.01,200,0.769657,0.034552
A0206,1437,0.1,0.05,200,0.744885,0.038851
A0206,1437,0.1,0.1,200,0.701041,0.047247
A0206,1437,0.3,0.01,200,0.770095,0.034363
A0206,1437,0.3,0.05,200,0.745038,0.038600
A0206,1437,0.3,0.1,200,0.700115,0.046981
A0206,1437,1.0,0.01,200,0.769597,0.034173
A0206,1437,1.0,0.05,200,0.743471,0.038352
A0206,1437,1.0,0.1,200,0.696633,0.046601
A0206,1437,3.0,0.01,200,0.765483,0.034524
A0206,1437,3.0,0.05,200,0.737167,0.038622
A0206,1437,3.0,0.1,200,0.686986,0.046576
A0206,1437,10.0,0.01,200,0.751560,0.036974
A0206,1437,10.0,0.05,200,0.717197,0.041165
A0206,1437,10.0,0.1,200,0.657180,0.048959
A0206,1437,30.0,0.01,200,0.723993,0.043344
A0206,1437,30.0,0.05,200,0.677740,0.048468
A0206,1437,30.0,0.1,200,0.597724,0.056656
A0301,2094,0.001,0.01,200,0.727484,0.030235
A0301,2094,0.001,0.05,200,0.689184,0.035549
A0301,2094,0.001,0.1,200,0.610827,0.049429
A0301,2094,0.003,0.01,200,0.727490,0.030234
A0301,2094,0.003,0.05,200,0.689191,0.035547
A0301,2094,0.003,0.1,200,0.610834,0.049426
A0301,2094,0.01,0.01,200,0.727513,0.030231
A0301,2094,0.01,0.05,200,0.689214,0.035541
A0301,2094,0.01,0.1,200,0.610855,0.049416
A0301,2094,0.1,0.01,200,0.727782,0.030190
A0301,2094,0.1,0.05,200,0.689447,0.035476
A0301,2094,0.1,0.1,200,0.611082,0.049294
A0301,2094,0.3,0.01,200,0.728275,0.030112
A0301,2094,0.3,0.05,200,0.689781,0.035358
A0301,2094,0.3,0.1,200,0.611476,0.049046
A0301,2094,1.0,0.01,200,0.729433,0.029919
A0301,2094,1.0,0.05,200,0.690369,0.035057
A0301,2094,1.0,0.1,200,0.612482,0.048310
A0301,2094,3.0,0.01,200,0.731070,0.029640
A0301,2094,3.0,0.05,200,0.690650,0.034530
A0301,2094,3.0,0.1,200,0.614249,0.046720
A0301,2094,10.0,0.01,200,0.731564,0.029607
A0301,2094,10.0,0.05,200,0.687631,0.033925
A0301,2094,10.0,0.1,200,0.615599,0.043637
A0301,2094,30.0,0.01,200,0.724559,0.030998
A0301,2094,30.0,0.05,200,0.676256,0.034394
A0301,2094,30.0,0.1,200,0.610134,0.041017
A1101,1985,0.001,0.01,200,0.783382,0.032478
A1101,1985,0.001,0.05,200,0.758229,0.037361
A1101,1985,0.001,0.1,200,0.717953,0.048671
A1101,1985,0.003,0.01,200,0.783387,0.032477
A1101,1985,0.003,0.05,200,0.758233,0.037360
A1101,1985,0.003,0.1,200,0.717957,0.048669
A1101,1985,0.01,0.01,200,0.783403,0.032473
A1101,1985,0.01,0.05,200,0.758246,0.037355
A1101,1985,0.01,0.1,200,0.717971,0.048660
A1101,1985,0.1,0.01,200,0.783604,0.032429
A1101,1985,0.1,0.05,200,0.758410,0.037298
A1101,1985,0.1,0.1,200,0.718128,0.048543
A1101,1985,0.3,0.01,200,0.783984,0.032344
A1101,1985,0.3,0.05,200,0.758698,0.037184
A1101,1985,0.3,0.1,200,0.718409,0.048306
A1101,1985,1.0,0.01,200,0.784908,0.032127
A1101,1985,1.0,0.05,200,0.759345,0.036879
A1101,1985,1.0,0.1,200,0.719116,0.047624
A1101,1985,3.0,0.01,200,0.786180,0.031829
A1101,1985,3.0,0.05,200,0.760191,0.036353
A1101,1985,3.0,0.1,200,0.720160,0.046280
A1101,1985,10.0,0.01,200,0.786247,0.031984
A1101,1985,10.0,0.05,200,0.759153,0.036045
A1101,1985,10.0,0.1,200,0.719848,0.044266
A1101,1985,30.0,0.01,200,0.779993,0.034421
A1101,1985,30.0,0.05,200,0.750122,0.038182
A1101,1985,30.0,0.1,200,0.712661,0.044709
A2301,104,0.001,0.01,200,0.546724,0.078704
A2301,104,0.001,0.05,200,0.518420,0.095845
A2301,104,0.001,0.1,200,0.530022,0.096104
A2301,104,0.003,0.01,200,0.547211,0.078508
A2301,104,0.003,0.05,200,0.519530,0.094954
A2301,104,0.003,0.1,200,0.530778,0.094935
A2301,104,0.01,0.01,200,0.548885,0.077841
A2301,104,0.01,0.05,200,0.523057,0.092173
A2301,104,0.01,0.1,200,0.532561,0.091708
A2301,104,0.1,0.01,200,0.566518,0.071404
A2301,104,0.1,0.05,200,0.549737,0.075779
A2301,104,0.1,0.1,200,0.554879,0.075635
A2301,104,0.3,0.01,200,0.587799,0.064921
A2301,104,0.3,0.05,200,0.587362,0.064745
A2301,104,0.3,0.1,200,0.597613,0.064097
A2301,104,1.0,0.01,200,0.601457,0.061330
A2301,104,1.0,0.05,200,0.620193,0.059513
A2301,104,1.0,0.1,200,0.618253,0.059498
A2301,104,3.0,0.01,200,0.575458,0.065126
A2301,104,3.0,0.05,200,0.596667,0.063933
A2301,104,3.0,0.1,200,0.584396,0.063387
A2301,104,10.0,0.01,200,0.482252,0.078713
A2301,104,10.0,0.05,200,0.502489,0.077231
A2301,104,10.0,0.1,200,0.496209,0.073812
A2301,104,30.0,0.01,200,0.378359,0.102175
A2301,104,30.0,0.05,200,0.416511,0.098299
A2301,104,30.0,0.1,200,0.413625,0.089101
A2402,197,0.001,0.01,200,0.563495,0.068333
A2402,197,0.001,0.05,200,0.528842,0.103785
A2402,197,0.001,0.1,200,0.484545,0.136071
A2402,197,0.003,0.01,200,0.563767,0.068183
A2402,197,0.003,0.05,200,0.530669,0.102245
A2402,197,0.003,0.1,200,0.488916,0.131859
A2402,197,0.01,0.01,200,0.564705,0.067666
A2402,197,0.01,0.05,200,0.536664,0.097332
A2402,197,0.01,0.1,200,0.502722,0.119376
A2402,197,0.1,0.01,200,0.574868,0.062275
A2402,197,0.1,0.05,200,0.575953,0.068588
A2402,197,0.1,0.1,200,0.566673,0.071395
A2402,197,0.3,0.01,200,0.588929,0.055396
A2402,197,0.3,0.05,200,0.587321,0.057077
A2402,197,0.3,0.1,200,0.571159,0.060573
A2402,197,1.0,0.01,200,0.607125,0.047856
A2402,197,1.0,0.05,200,0.587697,0.050970
A2402,197,1.0,0.1,200,0.560480,0.055494
A2402,197,3.0,0.01,200,0.620078,0.045062
A2402,197,3.0,0.05,200,0.587383,0.048965
A2402,197,3.0,0.1,200,0.548300,0.054063
A2402,197,10.0,0.01,200,0.618377,0.049826
A2402,197,10.0,0.05,200,0.575813,0.053845
A2402,197,10.0,0.1,200,0.527515,0.058652
A2402,197,30.0,0.01,200,0.585920,0.069770
A2402,197,30.0,0.05,200,0.539111,0.073360
A2402,197,30.0,0.1,200,0.489757,0.076116
A2403,254,0.001,0.01,200,0.415480,0.075099
A2403,254,0.001,0.05,200,0.345232,0.113905
A2403,254,0.001,0.1,200,0.326442,0.132319
A2403,254,0.003,0.01,200,0.415860,0.074921
A2403,254,0.003,0.05,200,0.346636,0.112642
A2403,254,0.003,0.1,200,0.328398,0.129915
A2403,254,0.01,0.01,200,0.417175,0.074309
A2403,254,0.01,0.05,200,0.351359,0.108536
A2403,254,0.01,0.1,200,0.334750,0.122517
A2403,254,0.1,0.01,200,0.432434,0.067698
A2403,254,0.1,0.05,200,0.392891,0.080195
A2403,254,0.1,0.1,200,0.378921,0.084488
A2403,254,0.3,0.01,200,0.457584,0.058492
A2403,254,0.3,0.05,200,0.431427,0.062445
A2403,254,0.3,0.1,200,0.410715,0.066362
A2403,254,1.0,0.01,200,0.499790,0.046700
A2403,254,1.0,0.05,200,0.470735,0.049308
A2403,254,1.0,0.1,200,0.441503,0.052780
A2403,254,3.0,0.01,200,0.533083,0.040399
A2403,254,3.0,0.05,200,0.496984,0.043461
A2403,254,3.0,0.1,200,0.461813,0.046134
A2403,254,10.0,0.01,200,0.548182,0.041502
A2403,254,10.0,0.05,200,0.494103,0.045391
A2403,254,10.0,0.1,200,0.422431,0.047842
A2403,254,30.0,0.01,200,0.531750,0.051345
A2403,254,30.0,0.05,200,0.411082,0.055109
A2403,254,30.0,0.1,200,0.281319,0.056439
A2601,672,0.001,0.01,200,0.536756,0.021388
A2601,672,0.001,0.05,200,0.477176,0.025291
A2601,672,0.001,0.1,200,0.406334,0.032807
A2601,672,0.003,0.01,200,0.536825,0.021381
A2601,672,0.003,0.05,200,0.477235,0.025282
A2601,672,0.003,0.1,200,0.406382,0.032797
A2601,672,0.01,0.01,200,0.537064,0.021357
A2601,672,0.01,0.05,200,0.477442,0.025255
A2601,672,0.01,0.1,200,0.406546,0.032761
A2601,672,0.1,0.01,200,0.539924,0.021063
A2601,672,0.1,0.05,200,0.479839,0.024925
A2601,672,0.1,0.1,200,0.408439,0.032335
A2601,672,0.3,0.01,200,0.545148,0.020536
A2601,672,0.3,0.05,200,0.484151,0.024325
A2601,672,0.3,0.1,200,0.412072,0.031524
A2601,672,1.0,0.01,200,0.556885,0.019396
A2601,672,1.0,0.05,200,0.494152,0.022951
A2601,672,1.0,0.1,200,0.421351,0.029531
A2601,672,3.0,0.01,200,0.571802,0.018077
A2601,672,3.0,0.05,200,0.507954,0.021089
A2601,672,3.0,0.1,200,0.434733,0.026610
A2601,672,10.0,0.01,200,0.581345,0.017413
A2601,672,10.0,0.05,200,0.518106,0.019417
A2601,672,10.0,0.1,200,0.439042,0.023590
A2601,672,30.0,0.01,200,0.568387,0.018826
A2601,672,30.0,0.05,200,0.493564,0.020125
A2601,672,30.0,0.1,200,0.398871,0.023165
A2902,160,0.001,0.01,200,0.668224,0.082532
A2902,160,0.001,0.05,200,0.634524,0.120437
A2902,160,0.001,0.1,200,0.614188,0.149334
A2902,160,0.003,0.01,200,0.668608,0.082283
A2902,160,0.003,0.05,200,0.636329,0.118742
A2902,160,0.003,0.1,200,0.618028,0.144948
A2902,160,0.01,0.01,200,0.669929,0.081430
A2902,160,0.01,0.05,200,0.642177,0.113354
A2902,160,0.01,0.1,200,0.629668,0.132229
A2902,160,0.1,0.01,200,0.684350,0.072565
A2902,160,0.1,0.05,200,0.680331,0.081218
A2902,160,0.1,0.1,200,0.679172,0.085619
A2902,160,0.3,0.01,200,0.704794,0.061331
A2902,160,0.3,0.05,200,0.703085,0.064420
A2902,160,0.3,0.1,200,0.698841,0.071758
A2902,160,1.0,0.01,200,0.732611,0.049012
A2902,160,1.0,0.05,200,0.725328,0.051839
