allele,n_peptides,fake_best_pcc,fake_best_lambda,fake_best_epsilon,true_pcc,gap,true_mse,fake_best_mse,selected_lambdas,selected_epsilons
A0101,1157,0.658431,30.0,0.01,0.651123,0.007307,0.016870,0.016345,30.0;30.0;10.0;10.0;30.0,0.01;0.01;0.01;0.01;0.01
A0201,3089,0.794790,10.0,0.01,0.798575,-0.003785,0.034300,0.034601,10.0;10.0;10.0;10.0;10.0,0.01;0.01;0.01;0.01;0.01
A0202,1447,0.757763,3.0,0.01,0.767461,-0.009698,0.036716,0.038026,3.0;3.0;3.0;3.0;3.0,0.01;0.01;0.01;0.01;0.01
A0203,1443,0.782264,1.0,0.01,0.781521,0.000743,0.035293,0.035399,3.0;1.0;1.0;3.0;3.0,0.01;0.01;0.01;0.01;0.01
A0206,1437,0.770095,0.3,0.01,0.772307,-0.002212,0.033960,0.034363,0.3;1.0;1.0;1.0;1.0,0.01;0.01;0.01;0.01;0.01
A0301,2094,0.731564,10.0,0.01,0.729670,0.001894,0.029741,0.029607,3.0;10.0;3.0;10.0;10.0,0.01;0.01;0.01;0.01;0.01
A1101,1985,0.786247,10.0,0.01,0.791419,-0.005172,0.031105,0.031984,3.0;3.0;3.0;3.0;10.0,0.01;0.01;0.01;0.01;0.01
A2301,104,0.620193,1.0,0.05,0.606971,0.013221,0.063436,0.059513,0.003;0.3;1.0;0.3;0.003,0.1;0.01;0.01;0.01;0.1
A2402,197,0.620078,3.0,0.01,0.618364,0.001714,0.045600,0.045062,3.0;3.0;3.0;3.0;10.0,0.05;0.05;0.01;0.01;0.01
A2403,254,0.548182,10.0,0.01,0.520670,0.027512,0.043033,0.041502,10.0;10.0;3.0;10.0;10.0,0.01;0.01;0.01;0.01;0.05
A2601,672,0.581345,10.0,0.01,0.563862,0.017483,0.018478,0.017413,10.0;10.0;30.0;10.0;30.0,0.01;0.01;0.01;0.01;0.01
A2902,160,0.748611,3.0,0.01,0.745638,0.002973,0.045547,0.045022,3.0;3.0;3.0;1.0;3.0,0.01;0.01;0.01;0.01;0.01
A3001,669,0.691829,10.0,0.01,0.684129,0.007700,0.025121,0.023584,10.0;10.0;10.0;30.0;10.0,0.01;0.01;0.01;0.01;0.01
A3002,92,0.498746,1.0,0.01,0.383912,0.114834,0.063322,0.053771,10.0;0.1;0.1;1.0;1.0,0.01;0.05;0.1;0.01;0.01
A3101,1869,0.750302,10.0,0.01,0.751046,-0.000744,0.028720,0.028823,3.0;3.0;10.0;10.0;10.0,0.01;0.01;0.01;0.01;0.01
A3301,1140,0.677154,3.0,0.01,0.681866,-0.004712,0.028950,0.029494,3.0;3.0;3.0;3.0;3.0,0.01;0.01;0.01;0.01;0.01
A6801,1141,0.749661,1.0,0.01,0.754310,-0.004649,0.036822,0.037694,1.0;3.0;3.0;3.0;3.0,0.01;0.01;0.01;0.01;0.01
A6802,1434,0.727605,3.0,0.01,0.734180,-0.006575,0.033540,0.034271,3.0;3.0;3.0;3.0;3.0,0.01;0.01;0.01;0.01;0.01
A6901,833,0.487143,3.0,0.01,0.492137,-0.004994,0.023076,0.023685,10.0;10.0;3.0;3.0;10.0,0.01;0.01;0.01;0.01;0.01
