allele,n_peptides,fake_best_pcc,fake_best_lambda,fake_best_epsilon,true_pcc,gap,true_mse,fake_best_mse,selected_lambdas,selected_epsilons
A0101,1157,0.658431,30.0,0.01,0.652322,0.006108,0.016252,0.016345,30.0;30.0;10.0;10.0;30.0,0.01;0.01;0.01;0.01;0.01
A0201,3089,0.794790,10.0,0.01,0.794790,0.000000,0.034601,0.034601,10.0;10.0;10.0;10.0;10.0,0.01;0.01;0.01;0.01;0.01
A0202,1447,0.757763,3.0,0.01,0.757763,0.000000,0.038026,0.038026,3.0;3.0;3.0;3.0;3.0,0.01;0.01;0.01;0.01;0.01
A0203,1443,0.782264,1.0,0.01,0.780718,0.001547,0.035449,0.035399,3.0;1.0;1.0;3.0;3.0,0.01;0.01;0.01;0.01;0.01
A0206,1437,0.770095,0.3,0.01,0.769559,0.000536,0.034219,0.034363,0.3;1.0;1.0;1.0;1.0,0.01;0.01;0.01;0.01;0.01
A0301,2094,0.731564,10.0,0.01,0.730921,0.000643,0.029600,0.029607,3.0;10.0;3.0;10.0;10.0,0.01;0.01;0.01;0.01;0.01
A1101,1985,0.786247,10.0,0.01,0.785391,0.000855,0.031917,0.031984,3.0;3.0;3.0;3.0;10.0,0.01;0.01;0.01;0.01;0.01
A2301,104,0.620193,1.0,0.05,0.565783,0.054410,0.078114,0.059513,0.003;0.3;1.0;0.03;0.003,0.1;0.01;0.01;0.05;0.1
A2402,197,0.620078,3.0,0.01,0.588894,0.031184,0.048858,0.045062,3.0;3.0;3.0;3.0;10.0,0.05;0.05;0.01;0.01;0.01
A2403,254,0.548182,10.0,0.01,0.509480,0.038702,0.043178,0.041502,10.0;10.0;3.0;10.0;10.0,0.01;0.01;0.01;0.01;0.05
A2601,672,0.581345,10.0,0.01,0.562702,0.018643,0.018103,0.017413,10.0;10.0;30.0;10.0;30.0,0.01;0.01;0.01;0.01;0.01
A2902,160,0.748611,3.0,0.01,0.740891,0.007720,0.045958,0.045022,3.0;3.0;3.0;1.0;3.0,0.01;0.01;0.01;0.01;0.01
A3001,669,0.691829,10.0,0.01,0.683218,0.008611,0.024300,0.023584,10.0;10.0;10.0;30.0;10.0,0.01;0.01;0.01;0.01;0.01
A3002,92,0.498746,1.0,0.01,0.353150,0.145596,0.069877,0.053771,10.0;0.03;0.1;1.0;1.0,0.01;0.1;0.1;0.01;0.01
A3101,1869,0.750302,10.0,0.01,0.749022,0.001280,0.028847,0.028823,3.0;3.0;10.0;10.0;10.0,0.01;0.01;0.01;0.01;0.01
A3301,1140,0.677154,3.0,0.01,0.677154,0.000000,0.029494,0.029494,3.0;3.0;3.0;3.0;3.0,0.01;0.01;0.01;0.01;0.01
A6801,1141,0.749661,1.0,0.01,0.747717,0.001944,0.037665,0.037694,1.0;3.0;3.0;3.0;3.0,0.01;0.01;0.01;0.01;0.01
A6802,1434,0.727605,3.0,0.01,0.727605,0.000000,0.034271,0.034271,3.0;3.0;3.0;3.0;3.0,0.01;0.01;0.01;0.01;0.01
A6901,833,0.487143,3.0,0.01,0.474607,0.012536,0.023811,0.023685,10.0;10.0;3.0;3.0;10.0,0.01;0.01;0.01;0.01;0.01
B0702,1262,0.776408,30.0,0.01,0.776408,0.000000,0.020729,0.020729,30.0;30.0;30.0;30.0;30.0,0.01;0.01;0.01;0.01;0.01
B0801,708,0.451520,10.0,0.01,0.436255,0.015265,0.007383,0.007221,10.0;30.0;10.0;10.0;10.0,0.01;0.01;0.01;0.01;0.01
B1501,978,0.713650,10.0,0.01,0.708733,0.004917,0.015964,0.015913,10.0;3.0;10.0;10.0;10.0,0.01;0.01;0.01;0.01;0.01
B1801,118,0.740616,1.0,0.01,0.651228,0.089388,0.025686,0.019233,0.03;0.3;0.3;1.0;0.3,0.05;0.05;0.01;0.1;0.1
B2705,969,0.671430,10.0,0.01,0.671430,0.000000,0.008758,0.008758,10.0;10.0;10.0;10.0;10.0,0.01;0.01;0.01;0.01;0.01
B3501,736,0.641679,10.0,0.01,0.635975,0.005704,0.040417,0.039953,3.0;10.0;10.0;10.0;10.0,0.01;0.01;0.01;0.01;0.01
B4001,1078,0.536758,3.0,0.01,0.531419,0.005339,0.009719,0.009676,10.0;3.0;10.0;10.0;10.0,0.01;0.01;0.01;0.01;0.01
B4002,118,0.702956,0.1,0.1,0.660882,0.042075,0.024080,0.020548,1.0;1.0;0.1;1.0;0.1,0.01;0.05;0.05;0.05;0.1
B4402,119,0.672115,1.0,0.01,0.615653,0.056461,0.020278,0.018010,1.0;0.1;1.0;3.0;3.0,0.01;0.05;0.01;0.01;0.01
B4403,119,0.776462,1.0,0.01,0.757032,0.019430,0.014132,0.013470,0.3;0.3;1.0;0.3;0.3,0.01;0.1;0.01;0.05;0.1
